Product,Sales,Feedback
Laptop,1200,"Excellent performance and battery life"
Laptop,950,"Too heavy to carry around"
Phone,800,"Great camera quality and sleek design"
Phone,600,"Battery drains too quickly"
Tablet,500,"Affordable and works fine for students"
Tablet,450,"Screen resolution is disappointing"
Headphones,300,"Amazing sound clarity and comfortable fit"
Headphones,200,"Breaks easily, poor build quality"
Smartwatch,700,"Stylish and useful for fitness tracking"
Smartwatch,650,"Limited features compared to price"

